datetime,open,high,low,close,volume
2026-03-04 09:15:00,544.85,548.7,472.1,518.1,19240
2026-03-04 09:40:00,570.85,586.3,569.8,585.35,32240
2026-03-04 10:10:00,576.0,576.2,564.6,568.55,9165
2026-03-04 10:15:00,568.55,579.05,564.95,573.65,650
2026-03-04 10:20:00,562.25,565.9,556.15,565.9,325
2026-03-04 10:25:00,574.4,574.4,570.15,570.15,650
2026-03-04 10:30:00,579.3,579.3,573.7,573.7,260
2026-03-04 10:35:00,569.2,569.2,567.75,567.75,260
2026-03-04 10:40:00,556.0,560.4,556.0,556.0,65
2026-03-04 10:45:00,559.5,562.25,554.2,562.25,260
2026-03-04 10:50:00,563.85,563.85,554.6,554.6,130
2026-03-04 10:55:00,560.2,560.2,555.1,560.2,195
2026-03-04 11:00:00,566.85,571.5,554.2,562.1,650
2026-03-04 11:05:00,615.1,615.35,609.95,611.6,1950
2026-03-04 11:10:00,602.0,602.0,599.7,602.0,130
2026-03-04 11:15:00,553.7,554.45,547.85,547.85,4810
2026-03-04 11:20:00,570.0,575.0,570.0,573.15,520
2026-03-04 11:55:00,534.65,542.1,534.65,541.0,195
2026-03-04 12:00:00,540.8,544.25,540.0,543.7,1365
2026-03-04 12:05:00,543.8,548.15,543.8,543.8,130
2026-03-04 12:10:00,549.1,550.0,549.1,549.1,260
2026-03-04 12:20:00,535.1,545.9,535.1,542.3,1430
2026-03-04 12:30:00,571.65,576.0,571.3,576.0,6760
2026-03-04 12:35:00,537.1,538.4,534.8,538.4,195
2026-03-04 12:40:00,575.55,575.55,568.2,570.55,5460
2026-03-04 12:45:00,537.9,542.4,534.7,539.65,2145
2026-03-04 12:50:00,542.05,542.05,542.05,542.05,0
2026-03-04 12:55:00,546.35,550.0,545.75,549.5,585
2026-03-04 13:00:00,525.75,534.45,525.75,527.75,5070
2026-03-04 13:05:00,606.05,610.0,601.55,601.55,4420
2026-03-04 13:10:00,584.3,584.3,576.9,576.9,130
2026-03-04 13:15:00,607.1,607.1,599.2,603.5,455
2026-03-04 13:20:00,585.35,589.95,585.35,586.7,520
2026-03-04 13:25:00,609.15,612.55,601.9,606.4,2210
2026-03-04 13:30:00,597.7,600.0,597.7,600.0,715
2026-03-04 13:35:00,582.5,587.35,581.55,585.0,390
2026-03-04 13:40:00,596.9,599.6,596.9,599.6,520
2026-03-04 13:45:00,604.25,607.95,601.0,601.0,780
2026-03-04 13:50:00,588.55,588.95,588.3,588.3,260
2026-03-04 13:55:00,575.1,577.15,575.1,577.15,520
2026-03-04 14:00:00,581.35,583.7,581.35,582.4,845
2026-03-04 15:05:00,607.7,616.75,603.95,605.85,2015
2026-03-04 15:10:00,610.9,613.25,604.35,604.35,715
2026-03-04 15:15:00,605.75,611.3,596.05,602.35,3445
2026-03-04 15:20:00,608.6,610.95,604.2,609.3,5005
2026-03-04 15:25:00,606.8,609.15,602.55,604.35,1235
