datetime,open,high,low,close,volume
2026-03-13 09:15:00,300.0,370.6,300.0,342.0,740285
2026-03-13 09:20:00,308.0,324.35,308.0,321.6,437515
2026-03-13 09:25:00,344.0,350.0,341.0,342.15,43680
2026-03-13 09:30:00,318.75,323.3,316.35,316.35,55055
2026-03-13 09:35:00,323.7,329.0,323.4,329.0,35620
2026-03-13 09:40:00,327.1,331.85,324.0,327.55,32240
2026-03-13 09:45:00,342.75,349.75,341.3,348.6,64805
2026-03-13 09:50:00,399.4,405.0,398.8,400.75,80210
2026-03-13 09:55:00,392.5,395.9,388.7,393.05,34190
2026-03-13 10:00:00,399.3,409.45,396.85,408.65,36205
2026-03-13 10:05:00,391.05,406.25,390.4,406.0,20800
2026-03-13 10:10:00,409.8,412.35,404.35,404.35,10335
2026-03-13 10:15:00,445.15,449.0,437.4,440.8,53495
2026-03-13 10:20:00,457.35,457.35,446.95,448.7,10985
2026-03-13 10:25:00,391.7,395.7,386.5,390.4,53105
2026-03-13 10:30:00,398.9,404.05,393.6,401.05,18720
2026-03-13 10:35:00,383.9,386.85,380.45,384.05,93080
2026-03-13 10:40:00,444.05,453.95,443.5,453.0,10270
2026-03-13 10:45:00,417.5,422.35,412.75,416.1,5395
2026-03-13 10:50:00,410.0,411.0,397.8,399.2,85540
2026-03-13 10:55:00,387.45,395.0,387.0,389.65,18590
2026-03-13 11:00:00,381.45,393.6,381.45,392.85,17680
2026-03-13 11:05:00,391.7,401.95,390.0,392.75,24245
2026-03-13 11:10:00,448.0,450.0,442.85,445.95,26585
2026-03-13 11:15:00,420.35,433.15,420.35,431.55,70785
2026-03-13 11:20:00,391.0,391.25,387.25,389.4,20475
2026-03-13 11:25:00,379.7,381.6,375.9,377.65,11635
2026-03-13 11:30:00,349.95,353.95,347.25,350.25,68575
2026-03-13 11:35:00,370.0,370.3,361.7,362.8,18460
2026-03-13 11:40:00,355.25,365.15,354.25,363.6,23140
2026-03-13 11:45:00,359.6,366.3,359.35,359.7,14625
2026-03-13 11:50:00,365.0,366.55,362.85,363.05,3835
2026-03-13 11:55:00,410.0,416.3,408.1,416.3,34190
2026-03-13 12:00:00,392.8,397.0,388.55,395.0,29575
2026-03-13 12:05:00,400.7,405.95,400.7,402.2,5395
2026-03-13 12:10:00,408.05,415.15,406.3,413.3,8320
2026-03-13 12:15:00,443.6,450.7,442.75,450.7,10855
2026-03-13 12:20:00,461.85,470.35,461.85,466.8,55835
2026-03-13 12:25:00,426.7,431.35,416.65,420.95,79820
2026-03-13 12:30:00,458.2,468.3,455.6,466.6,15860
2026-03-13 12:45:00,484.8,489.65,470.0,471.65,41470
2026-03-13 12:50:00,495.65,501.15,490.0,490.0,7865
2026-03-13 12:55:00,496.6,504.15,494.6,498.15,4875
2026-03-13 14:30:00,487.0,487.0,466.0,472.4,30875
